model_name,summary,capabilities,primary_version,version_name,size,context,input,usage_command,updated_at
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:1.5b-instruct-q4_K_M,986MB,4K,Text,ollama pull qwen2-math:1.5b-instruct-q4_K_M,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:1.5b-instruct-q5_0,1.1GB,4K,Text,ollama pull qwen2-math:1.5b-instruct-q5_0,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:1.5b-instruct-q5_1,1.2GB,4K,Text,ollama pull qwen2-math:1.5b-instruct-q5_1,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:1.5b-instruct-q5_K_S,1.1GB,4K,Text,ollama pull qwen2-math:1.5b-instruct-q5_K_S,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:1.5b-instruct-q5_K_M,1.1GB,4K,Text,ollama pull qwen2-math:1.5b-instruct-q5_K_M,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:1.5b-instruct-q6_K,1.3GB,4K,Text,ollama pull qwen2-math:1.5b-instruct-q6_K,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:1.5b-instruct-q8_0,1.6GB,4K,Text,ollama pull qwen2-math:1.5b-instruct-q8_0,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:1.5b-instruct-fp16,3.1GB,4K,Text,ollama pull qwen2-math:1.5b-instruct-fp16,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:7b-instruct,4.4GB,4K,Text,ollama pull qwen2-math:7b-instruct,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:7b-instruct-q2_K,3.0GB,4K,Text,ollama pull qwen2-math:7b-instruct-q2_K,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:7b-instruct-q3_K_S,3.5GB,4K,Text,ollama pull qwen2-math:7b-instruct-q3_K_S,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:7b-instruct-q3_K_M,3.8GB,4K,Text,ollama pull qwen2-math:7b-instruct-q3_K_M,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:7b-instruct-q3_K_L,4.1GB,4K,Text,ollama pull qwen2-math:7b-instruct-q3_K_L,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:7b-instruct-q4_0,4.4GB,4K,Text,ollama pull qwen2-math:7b-instruct-q4_0,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:7b-instruct-q4_1,4.9GB,4K,Text,ollama pull qwen2-math:7b-instruct-q4_1,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:7b-instruct-q4_K_S,4.5GB,4K,Text,ollama pull qwen2-math:7b-instruct-q4_K_S,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:7b-instruct-q4_K_M,4.7GB,4K,Text,ollama pull qwen2-math:7b-instruct-q4_K_M,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:7b-instruct-q5_0,5.3GB,4K,Text,ollama pull qwen2-math:7b-instruct-q5_0,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:7b-instruct-q5_1,5.8GB,4K,Text,ollama pull qwen2-math:7b-instruct-q5_1,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:7b-instruct-q5_K_S,5.3GB,4K,Text,ollama pull qwen2-math:7b-instruct-q5_K_S,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:7b-instruct-q5_K_M,5.4GB,4K,Text,ollama pull qwen2-math:7b-instruct-q5_K_M,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:7b-instruct-q6_K,6.3GB,4K,Text,ollama pull qwen2-math:7b-instruct-q6_K,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:7b-instruct-q8_0,8.1GB,4K,Text,ollama pull qwen2-math:7b-instruct-q8_0,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:7b-instruct-fp16,15GB,4K,Text,ollama pull qwen2-math:7b-instruct-fp16,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:72b-instruct,41GB,4K,Text,ollama pull qwen2-math:72b-instruct,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:72b-instruct-q2_K,30GB,4K,Text,ollama pull qwen2-math:72b-instruct-q2_K,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:72b-instruct-q3_K_S,34GB,4K,Text,ollama pull qwen2-math:72b-instruct-q3_K_S,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:72b-instruct-q3_K_M,38GB,4K,Text,ollama pull qwen2-math:72b-instruct-q3_K_M,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:72b-instruct-q3_K_L,40GB,4K,Text,ollama pull qwen2-math:72b-instruct-q3_K_L,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:72b-instruct-q4_0,41GB,4K,Text,ollama pull qwen2-math:72b-instruct-q4_0,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:72b-instruct-q4_1,46GB,4K,Text,ollama pull qwen2-math:72b-instruct-q4_1,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:72b-instruct-q4_K_S,44GB,4K,Text,ollama pull qwen2-math:72b-instruct-q4_K_S,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:72b-instruct-q4_K_M,47GB,4K,Text,ollama pull qwen2-math:72b-instruct-q4_K_M,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:72b-instruct-q5_0,50GB,4K,Text,ollama pull qwen2-math:72b-instruct-q5_0,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:72b-instruct-q5_1,55GB,4K,Text,ollama pull qwen2-math:72b-instruct-q5_1,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:72b-instruct-q5_K_S,51GB,4K,Text,ollama pull qwen2-math:72b-instruct-q5_K_S,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:72b-instruct-q5_K_M,54GB,4K,Text,ollama pull qwen2-math:72b-instruct-q5_K_M,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:72b-instruct-q6_K,64GB,4K,Text,ollama pull qwen2-math:72b-instruct-q6_K,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:72b-instruct-q8_0,77GB,4K,Text,ollama pull qwen2-math:72b-instruct-q8_0,1 year ago
qwen2-math,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).",,1.5b,qwen2-math:72b-instruct-fp16,145GB,4K,Text,ollama pull qwen2-math:72b-instruct-fp16,1 year ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:latest,1.8GB,8K,Text,ollama pull starcoder:latest,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:1b,726MB,8K,Text,ollama pull starcoder:1b,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:3b,1.8GB,8K,Text,ollama pull starcoder:3b,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:7b,4.3GB,8K,Text,ollama pull starcoder:7b,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b,9.0GB,8K,Text,ollama pull starcoder:15b,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:1b-base,726MB,8K,Text,ollama pull starcoder:1b-base,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:1b-base-q2_K,552MB,8K,Text,ollama pull starcoder:1b-base-q2_K,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:1b-base-q3_K_S,575MB,8K,Text,ollama pull starcoder:1b-base-q3_K_S,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:1b-base-q3_K_M,661MB,8K,Text,ollama pull starcoder:1b-base-q3_K_M,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:1b-base-q3_K_L,720MB,8K,Text,ollama pull starcoder:1b-base-q3_K_L,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:1b-base-q4_0,726MB,8K,Text,ollama pull starcoder:1b-base-q4_0,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:1b-base-q4_1,797MB,8K,Text,ollama pull starcoder:1b-base-q4_1,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:1b-base-q4_K_S,734MB,8K,Text,ollama pull starcoder:1b-base-q4_K_S,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:1b-base-q4_K_M,792MB,8K,Text,ollama pull starcoder:1b-base-q4_K_M,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:1b-base-q5_0,868MB,8K,Text,ollama pull starcoder:1b-base-q5_0,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:1b-base-q5_1,939MB,8K,Text,ollama pull starcoder:1b-base-q5_1,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:1b-base-q5_K_S,868MB,8K,Text,ollama pull starcoder:1b-base-q5_K_S,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:1b-base-q5_K_M,910MB,8K,Text,ollama pull starcoder:1b-base-q5_K_M,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:1b-base-q6_K,1.0GB,8K,Text,ollama pull starcoder:1b-base-q6_K,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:1b-base-q8_0,1.3GB,8K,Text,ollama pull starcoder:1b-base-q8_0,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:1b-base-fp16,2.5GB,8K,Text,ollama pull starcoder:1b-base-fp16,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:3b-base,1.8GB,8K,Text,ollama pull starcoder:3b-base,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:3b-base-q2_K,1.4GB,8K,Text,ollama pull starcoder:3b-base-q2_K,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:3b-base-q3_K_S,1.4GB,8K,Text,ollama pull starcoder:3b-base-q3_K_S,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:3b-base-q3_K_M,1.7GB,8K,Text,ollama pull starcoder:3b-base-q3_K_M,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:3b-base-q3_K_L,1.8GB,8K,Text,ollama pull starcoder:3b-base-q3_K_L,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:3b-base-q4_0,1.8GB,8K,Text,ollama pull starcoder:3b-base-q4_0,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:3b-base-q4_1,2.0GB,8K,Text,ollama pull starcoder:3b-base-q4_1,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:3b-base-q4_K_S,1.8GB,8K,Text,ollama pull starcoder:3b-base-q4_K_S,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:3b-base-q4_K_M,2.0GB,8K,Text,ollama pull starcoder:3b-base-q4_K_M,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:3b-base-q5_0,2.2GB,8K,Text,ollama pull starcoder:3b-base-q5_0,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:3b-base-q5_1,2.4GB,8K,Text,ollama pull starcoder:3b-base-q5_1,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:3b-base-q5_K_S,2.2GB,8K,Text,ollama pull starcoder:3b-base-q5_K_S,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:3b-base-q5_K_M,2.3GB,8K,Text,ollama pull starcoder:3b-base-q5_K_M,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:3b-base-q6_K,2.6GB,8K,Text,ollama pull starcoder:3b-base-q6_K,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:3b-base-q8_0,3.4GB,8K,Text,ollama pull starcoder:3b-base-q8_0,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:3b-base-fp16,6.4GB,8K,Text,ollama pull starcoder:3b-base-fp16,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:7b-base,4.3GB,8K,Text,ollama pull starcoder:7b-base,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:7b-base-q2_K,3.2GB,8K,Text,ollama pull starcoder:7b-base-q2_K,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:7b-base-q3_K_S,3.3GB,8K,Text,ollama pull starcoder:7b-base-q3_K_S,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:7b-base-q3_K_M,3.9GB,8K,Text,ollama pull starcoder:7b-base-q3_K_M,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:7b-base-q3_K_L,4.3GB,8K,Text,ollama pull starcoder:7b-base-q3_K_L,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:7b-base-q4_0,4.3GB,8K,Text,ollama pull starcoder:7b-base-q4_0,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:7b-base-q4_1,4.8GB,8K,Text,ollama pull starcoder:7b-base-q4_1,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:7b-base-q4_K_S,4.3GB,8K,Text,ollama pull starcoder:7b-base-q4_K_S,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:7b-base-q4_K_M,4.8GB,8K,Text,ollama pull starcoder:7b-base-q4_K_M,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:7b-base-q5_0,5.2GB,8K,Text,ollama pull starcoder:7b-base-q5_0,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:7b-base-q5_1,5.7GB,8K,Text,ollama pull starcoder:7b-base-q5_1,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:7b-base-q5_K_S,5.2GB,8K,Text,ollama pull starcoder:7b-base-q5_K_S,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:7b-base-q5_K_M,5.5GB,8K,Text,ollama pull starcoder:7b-base-q5_K_M,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:7b-base-q6_K,6.2GB,8K,Text,ollama pull starcoder:7b-base-q6_K,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:7b-base-q8_0,8.0GB,8K,Text,ollama pull starcoder:7b-base-q8_0,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:7b-base-fp16,15GB,8K,Text,ollama pull starcoder:7b-base-fp16,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-base,9.0GB,8K,Text,ollama pull starcoder:15b-base,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-base-q2_K,6.7GB,8K,Text,ollama pull starcoder:15b-base-q2_K,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-base-q3_K_S,6.9GB,8K,Text,ollama pull starcoder:15b-base-q3_K_S,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-base-q3_K_M,8.2GB,8K,Text,ollama pull starcoder:15b-base-q3_K_M,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-base-q3_K_L,9.1GB,8K,Text,ollama pull starcoder:15b-base-q3_K_L,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-base-q4_0,9.0GB,8K,Text,ollama pull starcoder:15b-base-q4_0,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-base-q4_1,10.0GB,8K,Text,ollama pull starcoder:15b-base-q4_1,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-base-q4_K_S,9.1GB,8K,Text,ollama pull starcoder:15b-base-q4_K_S,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-base-q4_K_M,10.0GB,8K,Text,ollama pull starcoder:15b-base-q4_K_M,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-base-q5_0,11GB,8K,Text,ollama pull starcoder:15b-base-q5_0,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-base-q5_1,12GB,8K,Text,ollama pull starcoder:15b-base-q5_1,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-base-q5_K_S,11GB,8K,Text,ollama pull starcoder:15b-base-q5_K_S,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-base-q5_K_M,12GB,8K,Text,ollama pull starcoder:15b-base-q5_K_M,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-base-q6_K,13GB,8K,Text,ollama pull starcoder:15b-base-q6_K,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-base-q8_0,17GB,8K,Text,ollama pull starcoder:15b-base-q8_0,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-base-fp16,32GB,8K,Text,ollama pull starcoder:15b-base-fp16,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-plus,9.0GB,8K,Text,ollama pull starcoder:15b-plus,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-plus-q2_K,6.7GB,8K,Text,ollama pull starcoder:15b-plus-q2_K,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-plus-q3_K_S,6.9GB,8K,Text,ollama pull starcoder:15b-plus-q3_K_S,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-plus-q3_K_M,8.2GB,8K,Text,ollama pull starcoder:15b-plus-q3_K_M,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-plus-q3_K_L,9.1GB,8K,Text,ollama pull starcoder:15b-plus-q3_K_L,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-plus-q4_0,9.0GB,8K,Text,ollama pull starcoder:15b-plus-q4_0,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-plus-q4_1,10.0GB,8K,Text,ollama pull starcoder:15b-plus-q4_1,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-plus-q4_K_S,9.1GB,8K,Text,ollama pull starcoder:15b-plus-q4_K_S,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-plus-q4_K_M,10.0GB,8K,Text,ollama pull starcoder:15b-plus-q4_K_M,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-plus-q5_0,11GB,8K,Text,ollama pull starcoder:15b-plus-q5_0,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-plus-q5_1,12GB,8K,Text,ollama pull starcoder:15b-plus-q5_1,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-plus-q5_K_S,11GB,8K,Text,ollama pull starcoder:15b-plus-q5_K_S,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-plus-q5_K_M,12GB,8K,Text,ollama pull starcoder:15b-plus-q5_K_M,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-plus-q6_K,13GB,8K,Text,ollama pull starcoder:15b-plus-q6_K,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-plus-q8_0,17GB,8K,Text,ollama pull starcoder:15b-plus-q8_0,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-plus-fp16,32GB,8K,Text,ollama pull starcoder:15b-plus-fp16,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-q2_K,6.7GB,8K,Text,ollama pull starcoder:15b-q2_K,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-q3_K_S,6.9GB,8K,Text,ollama pull starcoder:15b-q3_K_S,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-q3_K_M,8.2GB,8K,Text,ollama pull starcoder:15b-q3_K_M,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-q3_K_L,9.1GB,8K,Text,ollama pull starcoder:15b-q3_K_L,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-q4_0,9.0GB,8K,Text,ollama pull starcoder:15b-q4_0,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-q4_1,10.0GB,8K,Text,ollama pull starcoder:15b-q4_1,2 years ago
starcoder,StarCoder is a code generation model trained on 80+ programming languages.,,1b,starcoder:15b-q4_K_S,9.1GB,8K,Text,ollama pull starcoder:15b-q4_K_S,2 years ago
